"","X","X.1","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"30",30,30,2020789,5.6,0,0.230769230769231,0.769230769230769,0,5.5,5.62349200679196,6.0142857006618
"31",31,31,2020793,3.9,0,0.8,0.2,0,3.90000009536743,3.26666673024495,3.90000009536743
"32",32,32,2021221,5.6,0,0,1,0,5.85000004768372,5.84854163653923,6.18486840473978
"33",33,33,2021274,6.7,0,0,1,0,6.69999980926514,6.88333320617676,6.69999980926514
"34",34,34,2021286,4.8,0,0.371428571428571,0.628571428571429,0,6.39999993642171,5.89816670179367,5.87071439879281
"35",35,35,2021369,6.5,0,0,0.981481481481482,0.0185185185185185,6.09999990463257,6.12272728573192,6.59999998410543
"36",36,36,2021435,3.9,0,0.291666666666667,0.708333333333333,0,4.83333349227905,4.65555567211575,4.70000009735425
"37",37,37,2021439,8,0,0,0,1,8,5.69999996821086,8
"38",38,38,2021555,3.7,0,0.705882352941177,0.294117647058824,0,4.1000000834465,4.07698416615289,4.32000003655752
"39",39,39,2021557,6.9,0,0,1,0,6.90000009536743,6.90000009536743,6.90000009536743
"40",40,40,2021562,7.2,0,0,1,0,7.19999980926514,6.18670368141598,7.19999980926514
"41",41,41,2021601,7.8,0,0.0344827586206897,0.551724137931034,0.413793103448276,6.30000009536743,5.96888894173834,5.68904767149971
"42",42,42,2021614,7.6,0,0,0.727272727272727,0.272727272727273,6.76666657129924,6.64364492352269,7.59999990463257
"43",43,43,2021673,8.2,0,0,0.2,0.8,8.19999980926514,8.19999980926514,8.19999980926514
"44",44,44,2021675,5.1,0,0.333333333333333,0.666666666666667,0,5.09999990463257,5.09999990463257,5.09999990463257
"45",45,45,2021686,6.2,0,0,1,0,6.19999980926514,6.19999980926514,6.19999980926514
"46",46,46,2021721,5.6,0,0.0123456790123457,0.987654320987654,0,5.66470580942491,5.7860118867386,5.59999990463257
"47",47,47,2021758,8.2,0,0,0.61038961038961,0.38961038961039,7.89999985694885,7.06181414735478,7.41428565979004
"48",48,48,2021838,7.7,0,0.0277777777777778,0.388888888888889,0.583333333333333,7.35555553436279,7.18965767893999,7.56666653951009
"49",49,49,2021906,7.5,0,0,1,0,7.5,7.5,7.5
"50",50,50,2021938,6.8,0,0,1,0,6.80000019073486,6.53750001390775,6.56666670905219
"51",51,51,2021946,6.1,0,0.0394736842105263,0.960526315789474,0,6.07500004768372,5.78078460561765,6.01999998092651
"52",52,52,2022002,6.2,0,0.0571428571428571,0.942857142857143,0,5.89999985694885,5.99799068351799,6.37499992052714
"53",53,53,2022073,7.1,0,0,1,0,7.09999990463257,7.09666661686367,7.09999990463257
"54",54,54,2022079,6.4,0,0,1,0,5.79999995231628,5.79999995231628,5.70740738621465
"55",55,55,2022193,6.8,0,0,0.96875,0.03125,6.75000007947286,6.54438622509687,6.01359340809198
"56",56,56,2022198,8.6,0,0,0,1,8.60000038146973,8.60000038146973,8.60000038146973
"57",57,57,2022234,6.5,0,0,1,0,7.03999996185303,6.57663460511428,6.75
"58",58,58,2022263,5.7,0,0,1,0,6.09999990463257,6.27843127842822,5.16666650772095
"59",59,59,2022280,7.4,0,0,1,0,6.66666666666667,6.88888896836175,6.66666666666667
"60",60,60,2022301,6.1,0,0.032258064516129,0.967741935483871,0,6,6.37855427372375,5.79999995231628
"61",61,61,2022427,6.6,0,0,1,0,6.89285714285714,5.80292801657761,6.58333325386047
"62",62,62,2022459,6.4,0,0,1,0,6.40000009536743,6.40000009536743,6.40000009536743
"63",63,63,2022482,7.1,0,0,1,0,7.09999990463257,7.05857135227748,7.09999990463257
"64",64,64,2022529,6.4,0,0.043956043956044,0.956043956043956,0,6.60000006357829,6.15475932802522,6.13333336512248
"65",65,65,2022597,6.3,0,0,1,0,6.35000014305115,6.77250007987022,6.50000015894572
"66",66,66,2022776,7,0,0,1,0,7,6.96666653951009,7
"67",67,67,2022886,6.5,0,0,1,0,6.5,6.69999996821086,6.5
"68",68,68,2022904,2.7,0,0.75,0.25,0,2.70000004768372,2.70000004768372,2.70000004768372
"69",69,69,2023065,4.2,0,0.542372881355932,0.457627118644068,0,5.56666660308838,5.56666660308838,4.88333320617676
"70",70,70,2023507,7.2,0,0,0.96,0.04,7.14999985694885,6.74444437026978,7.14999985694885
"71",71,71,2023987,5.4,0,0,1,0,5.40000009536743,5.40000009536743,5.40000009536743
"72",72,72,2023994,7,0,0,1,0,7,7,7
"73",73,73,2024227,7.4,0,0,0.979591836734694,0.0204081632653061,7.40000009536743,7.1800000667572,7.40000009536743
"74",74,74,2024261,5.7,0,0.03125,0.96875,0,6.40000002724784,5.86805720763289,6.31666655010647
"75",75,75,2024268,7,0,0,1,0,7,6.96067248621987,6.85999999046326
"76",76,76,2024283,6.4,0,0,1,0,6.40000009536743,6.40000009536743,6.40000009536743
"77",77,77,2024304,6.8,0,0,1,0,6.73999996185303,6.17535072804472,6.80000019073486
"78",78,78,2024406,6.6,0,0,1,0,6.59999990463257,6.53999996185303,6.59999990463257
"79",79,79,2024659,5.3,0,0,1,0,5.30000019073486,5.32235157890221,5.30000019073486
"80",80,80,2024712,4.4,0,0.5,0.5,0,4.40000009536743,5.05878798455903,4.40000009536743
"81",81,81,2024727,5.8,0,0.166666666666667,0.833333333333333,0,5.80000019073486,5.80000019073486,5.60000006357829
"82",82,82,2024742,5.3,0,0.05,0.95,0,6.45000004768372,6.45000004768372,6.45000004768372
"83",83,83,2024744,3.3,0,0.64,0.36,0,3.29999995231628,3.63877545814125,3.29999995231628
"84",84,84,2024786,6.8,0,0,1,0,6.45000004768372,6.5,6.52777785725064
"85",85,85,2024792,6.4,0,0,1,0,6.54999995231628,6.8077380657196,6.54999995231628
"86",86,86,2024793,6.7,0,0,1,0,6.54999995231628,6.7942707836628,6.55999994277954
"87",87,87,2024821,7.6,0,0,0.379310344827586,0.620689655172414,7.59999990463257,7.59999990463257,7.59999990463257
"88",88,88,2024822,5.8,0,0,1,0,5.80000019073486,6.16150865349043,5.80000019073486
"89",89,89,2024935,2.6,0,0.666666666666667,0.333333333333333,0,3.26666657129923,3.09999990463257,3.50833328564962
"90",90,90,2024940,3.2,0,0.557692307692308,0.442307692307692,0,3.20000004768372,4.06937230897672,3.33333337306976
"91",91,91,2025379,6.2,0,0.0277777777777778,0.972222222222222,0,6.19999980926514,6.46666653951009,6.19999986224704
"92",92,92,2025533,5.8,0,0.0078740157480315,0.992125984251969,0,6.05833339691162,6.0287595346399,5.60500009059906
"93",93,93,2025723,2.8,0,1,0,0,2.79999995231628,2.79999995231628,2.79999995231628
"94",94,94,2025735,4.2,0,0.733333333333333,0.266666666666667,0,4.19999980926514,4.51666649182638,4.19999980926514
"95",95,95,2025738,7.3,0,0,1,0,7.32000007629395,6.99444452164665,7.22083344062169
"96",96,96,2025746,7.5,0,0,1,0,7.13333320617676,6.98944438563453,7.02499985694885
"97",97,97,2025829,5.8,0,0.0298507462686567,0.970149253731343,0,5.80000019073486,5.88718484863779,6.18750005960464
"98",98,98,2025835,6.8,0,0,0.975609756097561,0.024390243902439,5.92857142857143,6.35325497452991,6.54444453451369
"99",99,99,2025862,7.7,0,0,0.522727272727273,0.477272727272727,7.76666673024495,7.11527781751421,7.27142858505249
"100",100,100,2025884,6.3,0,0,1,0,6.1333335240682,5.50625005364418,6.30000019073486
"101",101,101,2025904,3.4,0,0.730769230769231,0.269230769230769,0,4.54999995231628,3.72976193825404,3.55625006556511
"102",102,102,2025974,7.3,0,0,0.975409836065574,0.0245901639344262,7.40000009536743,6.67012612897899,6.9904763062795
"103",103,103,2026125,6.3,0,0,1,0,6,6.16930560670675,6.50000005298191
"104",104,104,2026314,5,0,0.769230769230769,0.230769230769231,0,5,5.375,5
"105",105,105,2026385,6,0,0.0416666666666667,0.958333333333333,0,5.5,5.51083332300186,5.5
"106",106,106,2026492,7.7,0,0,0.694915254237288,0.305084745762712,6.46315787967883,6.8936786035853,7.2714284488133
"107",107,107,2026518,6.5,0,0,1,0,6.5,6.63333332538605,6.57000007629395
"108",108,108,2026552,6.1,0,0.0246913580246914,0.975308641975309,0,6.19999996821086,6.14543696411979,6.01428576878139
"109",109,109,2026563,6.8,0,0,1,0,6.73333342870076,6.66071439924694,6.62500011920929
"110",110,110,2026594,5.9,0,0.0238095238095238,0.976190476190476,0,5.62857151031494,6.405128239057,6.68000001907349
"111",111,111,2026595,7.6,0,0,0.633333333333333,0.366666666666667,7.35555553436279,6.94923076996437,7.13999996185303
"112",112,112,2026610,5.6,0,0,1,0,5.59999990463257,5.59999990463257,5.59999990463257
"113",113,113,2026615,4.3,0,1,0,0,4.30000019073486,4.30000019073486,4.30000019073486
"114",114,114,2026669,4.9,0,0.272727272727273,0.727272727272727,0,4.90000009536743,5.25861999854423,4.90000009536743
"115",115,115,2026701,4.8,0,0.321428571428571,0.678571428571429,0,4.80000019073486,4.8687501847744,4.80000019073486
"116",116,116,2026710,7,0,0,1,0,7,6.87152777446641,7
"117",117,117,2026728,4.7,0,0.19047619047619,0.80952380952381,0,4.69999980926514,5.07499980926514,4.69999980926514
"118",118,118,2026783,5.5,0,0.1875,0.8125,0,4.95000004768372,5.80142857006618,5.5
"119",119,119,2026851,6.9,0,0.25,0.75,0,5.70000004768372,6.90000009536743,5.70000004768372
"120",120,120,2026940,5,0,0.6875,0.3125,0,5.5,5.38366665840149,5.22500002384186
"121",121,121,2026967,6.2,0,0,1,0,6.11666663487752,6.11112291308123,6.09927532983863
"122",122,122,2027014,3.3,0,0.454545454545455,0.545454545454545,0,3.29999995231628,3.29999995231628,3.29999995231628
"123",123,123,2027147,6.6,0,0,1,0,6.84999990463257,6.64523801349458,6.84999990463257
"124",124,124,2027152,5.1,0,0.117647058823529,0.882352941176471,0,6.37999997138977,5.15624990065893,5.09999990463257
"125",125,125,2027153,4.1,0,0.727272727272727,0.272727272727273,0,4.09999990463257,4.7989582899544,5.5
"126",126,126,2027218,6.4,0,0,1,0,6.40000009536743,6.54919871993554,6.40000009536743
"127",127,127,2027249,3.8,0,0.510204081632653,0.489795918367347,0,3.79999995231628,4.99867726365725,5.7250000834465
"128",128,128,2027393,8.8,0,0,0,1,8.80000019073486,8.60555574629042,8.80000019073486
"129",129,129,2027425,3.9,0,0.641025641025641,0.358974358974359,0,3.90000009536743,4.80769233554177,3.90000009536743
"130",130,130,2027451,6.6,0,0,0.952380952380952,0.0476190476190476,6.23333326975505,6.02182884752941,6.13166658878326
"131",131,131,2027453,2.6,0,0.75,0.25,0,2.59999990463257,2.89285704067775,2.59999990463257
"132",132,132,2027499,6.2,0,0.0571428571428571,0.942857142857143,0,6.94999980926514,6.24151508621141,6.19999980926514
"133",133,133,2027604,7.8,0,0,0.641975308641975,0.358024691358025,7.20000004768372,6.65206260095788,6.75111122396257
"134",134,134,2027610,2.3,1,0,0,0,3.35000002384186,3.35000002384186,3.35000002384186
"135",135,135,2027649,5.9,0,0.0795454545454545,0.920454545454545,0,5.04999995231628,5.47179235598427,5.90000009536743
"136",136,136,2027656,6.4,0,0.037037037037037,0.944444444444444,0.0185185185185185,6.40000009536743,6.45202747556502,6.38518524611438
"137",137,137,2027671,3.3,0,0.966666666666667,0.0333333333333333,0,3.29999995231628,3.29999995231628,3.29999995231628
"138",138,138,2027681,4,0,0.818181818181818,0.181818181818182,0,4.86666663487752,4.28000001907349,4.43333331743876
"139",139,139,2027707,4.1,0,0.833333333333333,0.166666666666667,0,4.09999990463257,4.47374992370605,4.09999990463257
"140",140,140,2027760,6.5,0,0,1,0,6.5,6.35367647164008,6.5
"141",141,141,2027785,6.1,0,0,1,0,6.45000004768372,6.09999990463257,6.18749994039536
"142",142,142,2027910,4.7,0,0.902777777777778,0.0972222222222222,0,5.11428567341396,4.99499987363815,5.04583324988683
"143",143,143,2027911,7.2,0,0,1,0,7.19999980926514,6.40142856325422,6.78518503242069
"144",144,144,2027968,7.9,0,0,0,1,7.90000009536743,7.90000009536743,7.90000009536743
"145",145,145,2027993,4.8,0,0.708333333333333,0.291666666666667,0,5,6.20500001907349,5.16666666666667
"146",146,146,2028075,7.8,0,0,0.818181818181818,0.181818181818182,7.07500016689301,6.38322603280262,6.59166661898295
"147",147,147,2028133,4.4,0,0.5625,0.4375,0,4.40000009536743,4.83974364883879,4.45000004768372
"148",148,148,2028154,5.3,0,0,1,0,5.23333326975505,5.79285727228437,5.4562501013279
"149",149,149,2028177,7.5,0,0,1,0,7.5,7.5,7.5
"150",150,150,2028230,5.5,0,0.1,0.9,0,5.5,5.77291662693024,5.5
"151",151,151,2028337,7.9,0,0,0.230769230769231,0.769230769230769,7.90000009536743,7.4857143674578,7.39166669050852
"152",152,152,2028461,8.7,0,0,0.0512820512820513,0.948717948717949,8.69999980926514,8.04999995231628,8.69999980926514
"153",153,153,2028471,5.6,0,0.0303030303030303,0.96969696969697,0,6,6.55665098244647,5.59999990463257
"154",154,154,2028584,5.2,0,0.0384615384615385,0.961538461538462,0,5.19999980926514,5.51695890733373,5.49999982118607
"155",155,155,2028598,5.9,0,0,1,0,5.90000009536743,5.90000009536743,5.90000009536743
"156",156,156,2028676,7.6,0,0,0.481283422459893,0.518716577540107,6.67499995231628,7.15539677288166,6.63157894736842
"157",157,157,2028803,6.2,0,0,1,0,6.19999980926514,5.49003263353522,6.19999980926514
"158",158,158,2028831,6.9,0,0,1,0,6.97142853055681,6.27500009536743,6.90000009536743
"159",159,159,2028857,5.8,0,0,1,0,6.75,5.98095253535679,6.75
"160",160,160,2028872,5.6,0,0,1,0,5.59999990463257,5.8158162710618,5.59999990463257
"161",161,161,2028897,5.1,0,0.0476190476190476,0.952380952380952,0,5.09999990463257,5.16818172281439,5.09999990463257
"162",162,162,2028961,5.6,0,0.0930232558139535,0.906976744186046,0,5.86249995231628,6.22115163991198,6.08772134908707
"163",163,163,2029119,5.8,0,0,1,0,6.02499997615814,5.72500014305115,6.02499997615814
"164",164,164,2029128,5.6,0,0.02,0.98,0,5.66470580942491,5.23820504958813,5.59999990463257
"165",165,165,2029133,6.2,0,0.0769230769230769,0.923076923076923,0,6.19999980926514,5.93999981880188,6.19999980926514
"166",166,166,2029137,5.2,0,0,1,0,5.19999980926514,5.19999980926514,5.19999980926514
"167",167,167,2029138,7.7,0,0,0.166666666666667,0.833333333333333,7.69999980926514,7.69999980926514,7.69999980926514
"168",168,168,2029166,6.4,0,0,1,0,6.45000009536743,6.70000004768372,6.48333342870076
"169",169,169,2029425,6.8,0,0,1,0,6.18750005960464,6.11846607500705,6.80000019073486
"170",170,170,2029504,7.4,0,0.0128205128205128,0.961538461538462,0.0256410256410256,7.40000009536743,6.65555556615194,7.40000009536743
"171",171,171,2029554,7.8,0,0,0.829268292682927,0.170731707317073,7.26666673024495,6.83943363556017,7.80000019073486
"172",172,172,2029589,2.2,0.74468085106383,0.170212765957447,0.0851063829787234,0,2.20000004768372,2.89597227490611,2.20000004768372
"173",173,173,2029629,3.4,0,0.636363636363636,0.363636363636364,0,4.26666665077209,4.85920230135607,3.75000007947286
"174",174,174,2029701,5.7,0,0.0543478260869565,0.945652173913043,0,5.69999980926514,6.27871275450589,5.69999980926514
"175",175,175,2029817,4.6,0,0.555555555555556,0.444444444444444,0,4.59999990463257,4.63633328676224,4.34999990463257
"176",176,176,2029879,6.1,0,0.0277777777777778,0.972222222222222,0,5.67999982833862,5.72056535647975,5.33999996185303
"177",177,177,2029909,3.8,0,0.705882352941177,0.294117647058824,0,3.79999995231628,3.79999995231628,3.79999995231628
"178",178,178,2029963,6.1,0,0,1,0,6.25,6.12292204914671,6.18000001907349
"179",179,179,2029999,7.3,0,0,1,0,7.30000019073486,7.30000019073486,7.30000019073486
"180",180,180,2030100,2.8,0,1,0,0,2.79999995231628,3.11416661540667,2.79999995231628
"182",182,182,2030173,8.4,0,0,0,1,8.39999961853027,8.39999961853027,8.39999961853027
"183",183,183,2030184,3.6,0,0.882352941176471,0.117647058823529,0,3.40588233050178,3.48939388087302,3.61666663487752
"184",184,184,2030343,5.7,0,0,1,0,6.5,5.69999980926514,6.26666673024495
"185",185,185,2030345,5,0,1,0,0,5,4.68000001907349,5.27499997615814
"186",186,186,2030347,3.2,0,0.6875,0.3125,0,3.5,3.84738099657039,3.20000004768372
"187",187,187,2030370,8.4,0,0,0,1,8.39999961853027,8.39999961853027,8.39999961853027
"188",188,188,2030407,6,0,0,1,0,6.19285716329302,6.33150791884501,6.15555556615194
"189",189,189,2030437,6.2,0,0,1,0,6.19999980926514,6.6485184588918,6.39777763684591
"190",190,190,2030442,6.4,0,0.0555555555555556,0.944444444444444,0,7.06666660308838,6.60000014305115,6.40000009536743
"191",191,191,2030444,8.8,0,0,0,1,8.80000019073486,8.80000019073486,8.80000019073486
"192",192,192,2030459,4.3,0,0.666666666666667,0.333333333333333,0,4.30000019073486,5.35717110811618,4.30000019073486
"193",193,193,2030491,3.9,0,1,0,0,3.90000009536743,3.83333341280619,3.90000009536743
"194",194,194,2030499,3.5,0,0.5,0.5,0,3.5,3.5,3.5
"195",195,195,2030584,4.6,0,0.612903225806452,0.387096774193548,0,4.59999990463257,4.75096303903697,4.59999990463257
"196",196,196,2030673,6.7,0,0,1,0,6.19999980926514,6.07369045565526,6.69999980926514
"197",197,197,2030681,5.9,0,0.111111111111111,0.888888888888889,0,6.54999995231628,5.90000009536743,5.90000009536743
"198",198,198,2030808,4.8,0,0.616666666666667,0.383333333333333,0,4.57500016689301,4.80793668353368,4.71666685740153
"199",199,199,2030878,8.2,0,0,0.714285714285714,0.285714285714286,8.19999980926514,8.10999989509583,8.19999980926514
"200",200,200,2030906,7.1,0,0,1,0,6.5,6.59150323992461,6.56666665607028
"201",201,201,2030918,5.2,0,0.0833333333333333,0.916666666666667,0,5.19999980926514,5.25514061660822,6.02499997615814
"202",202,202,2030940,6.9,0,0,1,0,6.51111120647854,6.33959811728609,5.5
"203",203,203,2030957,5.6,0,0,1,0,5.59999990463257,5.66999995538167,5.59999990463257
"204",204,204,2030973,5,0,1,0,0,5,5,5
"205",205,205,2030974,5.5,0,0.0428571428571429,0.957142857142857,0,6.04999995231628,6.15000005121584,5.60999997456869
"206",206,206,2030980,6.5,0,0,1,0,6.31428575515747,6.56991109975179,6.5
"207",207,207,2031002,5.2,0,0.153846153846154,0.846153846153846,0,5.19999980926514,5.31041649977366,5.01249983906746
"208",208,208,2031026,6.3,0,0,1,0,6.32499998807907,6.30144936882931,6.51666680971781
"209",209,209,2031048,7.2,0,0,1,0,6.09999990463257,6.01999998092651,7.19999980926514
"210",210,210,2031054,4.1,0,0.714285714285714,0.285714285714286,0,4.70000004768372,4.10999989509583,4.09999990463257
"211",211,211,2031183,5.9,0,0.0357142857142857,0.964285714285714,0,6.375,5.75137533209571,6.34999990463257
"212",212,212,2031231,6.5,0,0,1,0,6.44666665395101,6.44194447861777,6.85000006357829
"213",213,213,2031247,6.3,0,0,1,0,6.30000019073486,5.70000012715658,6.30000019073486
"214",214,214,2031256,7.1,0,0,1,0,7.09999990463257,6.68129627439711,7.08333325386047
"215",215,215,2031335,7.2,0,0,1,0,6.06666660308838,6.41611929279514,6.25999989509583
"216",216,216,2031339,4.9,0,0.925925925925926,0.0740740740740741,0,6.57500004768372,5.99318184635856,4.90000009536743
"217",217,217,2031365,4.5,0,0.323529411764706,0.676470588235294,0,4.72500002384186,6.29374995827675,5.95000004768372
"218",218,218,2031480,6.2,0,0,1,0,5.64999985694885,6.25026734658213,6.19999980926514
"219",219,219,2031586,4.8,0,0.898305084745763,0.101694915254237,0,4.80000019073486,4.8489132238471,4.80000019073486
"220",220,220,2031644,4.7,0,0.857142857142857,0.142857142857143,0,4.69999980926514,4.69999980926514,5.3740739469175
"221",221,221,2031712,5.5,0,0,1,0,5.54999995231628,5.64687499403954,5.54999995231628
"222",222,222,2031776,6.1,0,0,1,0,6.09999990463257,6.09999990463257,6.09999990463257
"223",223,223,2031873,7,0,0,1,0,7,6.97500002384186,7
"224",224,224,2031910,4.6,0,0.714285714285714,0.285714285714286,0,4.59999990463257,4.59999990463257,4.59999990463257
"225",225,225,2031923,5.4,0,0,1,0,5.40000009536743,5.40000009536743,5.40000009536743
"226",226,226,2032207,8.2,0,0,0.597402597402597,0.402597402597403,6.78749993443489,6.53327589636487,7.31428558485849
"227",227,227,2032265,6.2,0,0,1,0,6.86666663487752,6.5,5.94999980926514
"228",228,228,2032316,7.2,0,0,1,0,6.23333326975505,6.90574665146989,6.37499988079071
"229",229,229,2032326,7.1,0,0,1,0,7.09999990463257,7.26515144290346,7.09999990463257
"230",230,230,2032330,6.7,0,0,1,0,6.69999980926514,6.69999980926514,6.69999980926514
"231",231,231,2032557,8.8,0,0,0,1,8.80000019073486,8.80000019073486,8.80000019073486
"232",232,232,2032602,6.1,0,0,1,0,6.09999990463257,6.09999990463257,6.09999990463257
"233",233,233,2032968,5.3,0,0.0909090909090909,0.909090909090909,0,6.25,5.43377556435916,5.09000017642975
"234",234,234,2032979,6,0,0.2,0.8,0,6,5.98055554760827,6
"235",235,235,2032989,7.8,0,0,0.375,0.625,7.25,6.98869236791476,6.85000014305115
"236",236,236,2032990,6.1,0,0,1,0,6.09999990463257,6.08857134410313,6.09999990463257
"237",237,237,2032992,5.6,0,0.0357142857142857,0.928571428571429,0.0357142857142857,5.59999990463257,5.69497465876618,5.59999990463257
"238",238,238,2033050,7.2,0,0,0.907407407407407,0.0925925925925926,7.63749992847443,7.21249985694885,7.32961448653714
"239",239,239,2033401,6.2,0,0,1,0,6.19999980926514,6.33749985694885,6.19999980926514
"241",241,241,2033949,6.8,0,0,1,0,7.24000005722046,6.66508221473553,7.06818188320507
"242",242,242,2033997,5.8,0,0,1,0,5.70000004768372,5.88500006198883,5.80000007152557
"243",243,243,2034078,5.8,0,0.0869565217391304,0.91304347826087,0,5.47500002384186,5.79853669412091,5.80000019073486
"244",244,244,2034136,6.5,0,0,0.984375,0.015625,6.34999990463257,6.73624997220579,6.86363634196195
"245",245,245,2034288,6.8,0,0,0.95,0.05,6.57500004768372,6.80459839242648,6.80833347638448
"246",246,246,2034310,2.2,0.878787878787879,0.0909090909090909,0.0303030303030303,0,2.20000004768372,2.79553572194917,2.20000004768372
"247",247,247,2034822,5.8,0,0,1,0,5.85000014305115,6.23728361867723,6.28750014305115
"248",248,248,2034841,6.6,0,0,1,0,6.59999990463257,6.59999990463257,6.59999990463257
"249",249,249,2034895,7.6,0,0.0555555555555556,0.277777777777778,0.666666666666667,7.59999990463257,7.33333324663567,7.59999990463257
"250",250,250,2035075,6.7,0,0,1,0,6.69999980926514,6.69999980926514,6.69999980926514
"251",251,251,2035119,6.5,0,0,1,0,6.59473687724063,6.54090910286286,6.58484846172911
"252",252,252,2035185,4.1,0,0.666666666666667,0.333333333333333,0,4.09999990463257,3.99999995032946,3.64999997615814
"253",253,253,2035446,7.2,0,0,1,0,7.19999980926514,7.19999980926514,7.19999980926514
"254",254,254,2035468,5.3,0,0.125,0.875,0,5.30000019073486,5.57459688673737,5.30000019073486
"255",255,255,2035729,4.7,0,0.527272727272727,0.472727272727273,0,4.69999980926514,5.07714270183018,4.69999980926514
"256",256,256,2036011,5,0,0.25,0.75,0,5.65000009536743,5.45100199733146,5.25
"257",257,257,2036215,7,0,0,1,0,7,7,7
"258",258,258,2036358,6.5,0,0.125,0.875,0,6.5,6.48500002622604,6.5
"259",259,259,2036622,6.1,0,0,1,0,6.09999990463257,6.09999990463257,6.09999990463257
"260",260,260,2036753,6.8,0,0,1,0,6.80000019073486,6.42916675408681,6.80000019073486
"261",261,261,2036883,5.4,0,0.157894736842105,0.842105263157895,0,5.40000009536743,5.37551027901319,5.40000009536743
"262",262,262,2037042,6.1,0,0,1,0,6.09999990463257,6.45238094102769,6.09999990463257
"263",263,263,2037077,5.8,0,0.0344827586206897,0.96551724137931,0,5.46666669845581,5.86401043559114,6.125
"264",264,264,2037088,7.6,0,0,0.925925925925926,0.0740740740740741,6.94000002543132,6.55241758692396,7.41666666666667
"265",265,265,2037114,6,0,0,1,0,6,6,6
"266",266,266,2037282,5.1,0,0.0625,0.9375,0,5.09999990463257,5.1539351189578,4.78333326180776
"267",267,267,2037456,6.9,0,0,1,0,6.90000009536743,6.90000009536743,6.82500004768372
"268",268,268,2037631,7.4,0,0,0.961538461538462,0.0384615384615385,7.20000004768372,7.01428575175149,7.20000004768372
"269",269,269,2037641,5.5,0,0.0204081632653061,0.979591836734694,0,6.40000009536743,5.55416664481163,5.95000004768372
"270",270,270,2037980,4.5,0,0.82051282051282,0.179487179487179,0,4.86666663487752,4.74166665190742,4.67499995231628
"272",272,272,2038136,5,0,0.333333333333333,0.666666666666667,0,4.45000004768372,5,5
"274",274,274,2038331,4.7,0,0.708333333333333,0.291666666666667,0,4.69999980926514,4.88587948900682,4.69999980926514
"275",275,275,2038457,5.3,0,0.181818181818182,0.818181818181818,0,5.74000005722046,5.81084597241643,6.67916677395503
